"age","prior_job_count","department","proportion_401K","starting_salary","separated_ny","days_to_separate","job_level"
44.87,12,"human_resources",0.77,90165,1,1,"E"
46.03,7,"customer_service",0.25,92303,1,19.04,"B"
45.47,11,"it_support",0.12,90584,0,16.32,"C"
45.38,2,"it_support",0.33,90608,0,13.78,"D"
48.13,12,"customer_service",0.76,96552,1,20.25,"C"
34.28,11,"human_resources",0.77,68413,0,1,"C"
35.44,6,"human_resources",1,70857,1,1,"B"
49.01,8,"customer_service",0.4,98182,0,57.73,"A"
43.03,6,"human_resources",1,86024,1,1,"B"
45.93,7,"customer_service",0.01,91524,0,12.51,"C"
45.29,2,"human_resources",0.07,90309,1,1,"A"
47.01,4,"it_support",0.75,94342,1,1.34,"B"
47.77,6,"human_resources",0.97,95798,0,1,"E"
34.98,7,"human_resources",0.67,70370,0,1,"B"
39.17,5,"human_resources",0.6,77553,1,1,"C"
47.61,12,"human_resources",0.95,95310,0,1,"D"
40.94,5,"customer_service",0,81958,0,3.53,"E"
40.48,11,"customer_service",0.94,80596,0,107.38,"E"
40.07,4,"human_resources",0.83,80334,0,1,"D"
46.78,7,"human_resources",1,93205,0,1,"D"
43.49,5,"it_support",0.55,86726,0,2.41,"A"
40.74,10,"human_resources",0.52,81799,0,1,"C"
38.67,6,"it_support",0.29,77478,0,7.59,"D"
45.23,11,"customer_service",0.23,90767,0,68.83,"B"
41.47,2,"human_resources",0.59,82666,1,1,"C"
43.34,9,"customer_service",0.49,86112,0,26.78,"B"
50.81,9,"human_resources",0.26,101403,0,1,"C"
46.93,9,"human_resources",0.15,94319,1,1,"D"
39.58,8,"human_resources",0.97,78785,0,1,"E"
45.11,9,"customer_service",0.71,90236,0,4.33,"E"
52.3,12,"it_support",0.42,105421,0,4.5,"D"
49.84,14,"customer_service",0.14,99645,0,11.1,"B"
44.54,11,"human_resources",0.91,89156,1,1,"C"
43.14,8,"customer_service",0.98,86041,0,32.66,"D"
40.11,11,"human_resources",0.21,79982,0,1,"B"
42.2,7,"customer_service",0.99,84274,1,1.9,"A"
43.24,6,"human_resources",0.98,86476,1,1,"A"
46.28,5,"customer_service",0.4,92492,0,160.16,"B"
49.23,5,"human_resources",0.51,99078,0,1,"D"
41.96,8,"it_support",0.25,84189,0,8.22,"B"
45.81,13,"human_resources",0.97,91515,0,1,"E"
52,11,"human_resources",0.92,103686,1,1,"C"
47.85,13,"human_resources",0.4,95322,0,1,"C"
44.1,12,"customer_service",0.78,87671,0,46.83,"A"
42.48,7,"human_resources",0.02,84780,0,1,"E"
40.93,9,"customer_service",0.63,82177,0,3.63,"C"
42.31,5,"human_resources",0.99,84080,1,1,"A"
45.6,10,"it_support",0.93,91307,0,12.1,"B"
48.55,13,"human_resources",0.63,97081,1,1,"A"
41.92,14,"human_resources",0.49,84213,0,1,"B"
46.95,10,"human_resources",0.46,94047,0,1,"B"
50,3,"it_support",1,100254,0,9.88,"E"
40,7,"human_resources",0.21,79792,1,1,"D"
49.55,8,"customer_service",0.33,99410,0,31.61,"E"
51.39,11,"human_resources",0.66,102726,1,1,"B"
42.07,7,"human_resources",1,84433,1,1,"E"
47.28,11,"human_resources",0.97,95530,0,1,"B"
39.08,5,"human_resources",1,78496,1,1,"A"
46.98,10,"human_resources",1,94094,1,1,"C"
46.72,10,"human_resources",1,93835,0,1,"C"
42.67,10,"it_support",0.59,85384,0,6.51,"E"
52.09,6,"human_resources",0.22,103434,0,1,"D"
40.94,6,"human_resources",0.79,81782,0,1,"E"
40.19,7,"human_resources",0.16,80320,1,1,"E"
50.56,14,"human_resources",0.27,101367,1,1,"A"
36.94,9,"human_resources",0.48,74055,1,1,"A"
39.85,8,"human_resources",0.75,80230,0,1,"C"
41.66,4,"human_resources",0.93,83693,1,1,"B"
50.29,9,"customer_service",0.95,100335,0,18.99,"B"
48.78,7,"customer_service",0.95,97265,1,3.6,"D"
40.26,6,"customer_service",0.12,80985,0,9.14,"E"
43,6,"customer_service",0.92,85842,0,70.71,"C"
39.08,6,"customer_service",0.59,78367,0,78.1,"E"
46.7,9,"it_support",0.43,93557,0,4.41,"B"
48.6,16,"human_resources",0.99,97084,0,1,"C"
49.39,8,"human_resources",0.7,98702,0,1,"C"
48.18,8,"human_resources",0.11,96458,1,1,"B"
53.92,8,"human_resources",0.92,108578,1,1,"A"
39.91,9,"it_support",1,79812,1,3.1,"D"
43.72,6,"human_resources",0.97,87177,1,1,"C"
45.02,6,"human_resources",0.11,90311,1,1,"E"
46.99,8,"human_resources",0.96,93961,0,1,"A"
47.03,9,"human_resources",0.99,94504,0,1,"C"
43.89,13,"it_support",0.66,88196,1,1.9,"A"
46.23,6,"human_resources",0.71,92610,0,1,"B"
41.57,4,"customer_service",0.4,83150,0,130.36,"C"
39.38,10,"human_resources",0.89,78857,0,1,"D"
38.37,10,"human_resources",0.07,76471,0,1,"D"
49.09,9,"human_resources",0.18,97844,1,1,"D"
39.11,9,"human_resources",0.68,77930,1,1,"C"
49.41,5,"human_resources",0.69,99366,1,1,"E"
43.25,7,"it_support",0.98,86373,0,12.41,"E"
43.84,10,"human_resources",1,88225,1,1,"B"
43.09,10,"customer_service",0.97,86247,0,26.68,"C"
38.25,3,"human_resources",1,76540,1,1,"E"
58.24,10,"customer_service",0.42,116517,0,55.22,"D"
51.03,15,"customer_service",0.14,102412,0,28.01,"B"
44.98,14,"human_resources",0.98,89981,0,1,"E"
39.52,5,"human_resources",0.86,78701,0,1,"E"
37.7,6,"human_resources",1,75644,0,1,"A"
46.27,5,"it_support",0.09,92735,0,6.4,"E"
50.48,9,"customer_service",0.98,100284,0,31.61,"E"
45.62,9,"human_resources",0.07,92074,0,1,"E"
43.75,10,"human_resources",0.61,87689,1,1,"C"
43.84,6,"customer_service",0.58,87601,0,0.25,"C"
38.37,5,"customer_service",0.6,76626,0,29.02,"A"
41.66,7,"human_resources",1,83387,0,1,"D"
36.61,8,"human_resources",0.92,73034,0,1,"E"
52.35,6,"it_support",0.04,104722,0,3.16,"D"
37.2,8,"human_resources",0.61,73949,0,1,"E"
42.26,11,"human_resources",0.42,84540,1,1,"C"
51.12,11,"human_resources",0.43,101708,0,1,"A"
39.43,8,"customer_service",0.15,79080,0,10.72,"D"
49.09,15,"human_resources",0.35,98436,0,1,"A"
49.23,10,"human_resources",0.89,98307,0,1,"B"
45.61,6,"customer_service",0.99,91166,0,83.26,"A"
49.11,13,"customer_service",0.89,98253,0,118.82,"A"
43.82,5,"customer_service",0.84,87432,1,3.51,"B"
48.93,8,"customer_service",0.04,98146,0,175.18,"E"
38.62,9,"human_resources",0.19,77478,1,1,"A"
42.96,11,"it_support",0.89,85953,0,10.82,"B"
41,12,"human_resources",0.19,81972,1,1,"A"
41.78,11,"human_resources",0.23,83313,1,1,"A"
43.1,10,"customer_service",0.49,86388,0,2.29,"D"
45.93,7,"it_support",0.95,91668,1,2.66,"A"
51.76,14,"it_support",1,103298,0,14.93,"C"
46.91,14,"it_support",0.68,93860,0,1.57,"E"
43.81,11,"human_resources",0.97,87387,1,1,"E"
43.42,8,"customer_service",0.73,87322,0,196.73,"C"
41.79,9,"it_support",0,83549,1,3.3,"E"
48.76,12,"it_support",0.42,97655,0,6.2,"E"
48.1,7,"it_support",0.9,95990,0,8.75,"D"
48.43,9,"customer_service",0.05,97498,1,14.6,"A"
48.65,9,"it_support",0.92,97392,0,8.56,"A"
47,10,"human_resources",0.5,93395,0,1,"C"
47.88,8,"human_resources",0.73,95901,0,1,"E"
42.27,4,"customer_service",0.78,83973,1,2.92,"D"
37.22,9,"human_resources",0.54,74564,1,1,"E"
39.84,6,"customer_service",0.95,79033,0,20.9,"D"
40.39,5,"human_resources",0.68,80709,1,1,"A"
38.12,9,"customer_service",0.44,76293,0,75.72,"A"
44.16,8,"human_resources",0.39,87921,1,1,"A"
46.8,12,"customer_service",0.1,94026,1,12.08,"A"
43.1,10,"it_support",0.7,86383,1,1.72,"C"
46.35,5,"customer_service",0.94,92985,0,56.69,"A"
40.36,4,"it_support",1,80735,0,8.83,"D"
43.18,8,"human_resources",0.07,86525,0,1,"D"
38.6,4,"human_resources",0.17,77113,0,1,"A"
48.16,9,"it_support",1,96321,0,4.51,"B"
45.47,5,"customer_service",0.94,90584,0,42.41,"E"
44.04,11,"customer_service",0.74,87973,0,25.82,"E"
37.77,8,"customer_service",0.44,75671,0,5.84,"C"
50.61,15,"human_resources",0.83,100997,1,1,"D"
44.4,11,"human_resources",1,88775,0,1,"B"
42.56,10,"customer_service",0.02,85376,0,82.34,"A"
45.06,7,"customer_service",0.09,90191,0,8.04,"C"
41.5,4,"it_support",0.94,83204,1,4.98,"A"
46.44,6,"it_support",0.86,93140,0,8.73,"C"
51.38,11,"it_support",0.38,102612,0,13.29,"C"
45.75,6,"customer_service",0.38,91142,0,3.91,"B"
46.71,9,"human_resources",0.28,93313,1,1,"D"
37.98,6,"human_resources",1,75699,1,1,"B"
41.77,7,"human_resources",0.56,83231,1,1,"D"
48.79,4,"human_resources",1,97471,0,1,"B"
48.69,10,"customer_service",0.69,98277,0,58.8,"D"
38.31,4,"human_resources",0.32,76724,1,1,"C"
36.4,9,"human_resources",0.94,73179,0,1,"B"
46.59,10,"human_resources",0.81,92985,1,1,"E"
41.94,8,"customer_service",1,84046,0,8.34,"A"
44.89,6,"it_support",0,90041,0,16.94,"C"
47.22,13,"it_support",0.29,93848,1,6.87,"D"
45.02,9,"it_support",0.98,90091,0,8.69,"A"
45.09,8,"human_resources",1,90387,0,1,"D"
45.56,8,"human_resources",1,91089,0,1,"C"
48.35,6,"customer_service",0.8,96273,1,3.79,"D"
46.91,13,"customer_service",0.88,93347,0,35.42,"B"
41.99,10,"human_resources",0.13,84316,1,1,"A"
51.47,14,"it_support",0.94,103003,0,12.8,"B"
42.76,7,"human_resources",0.03,85185,0,1,"B"
48.6,18,"it_support",0.01,97361,0,8.14,"C"
44.48,8,"customer_service",0.24,88913,0,28.42,"C"
50.58,7,"human_resources",0.07,101423,0,1,"B"
53.18,7,"customer_service",0.96,106427,0,69.69,"D"
47.12,10,"it_support",0.62,94600,0,3.38,"C"
44.56,7,"human_resources",0.43,89390,1,1,"D"
40.86,7,"it_support",0.88,82216,0,2.39,"C"
44.68,13,"human_resources",1,89229,0,1,"C"
43.98,9,"it_support",0.09,88535,0,14.14,"A"
51.5,20,"it_support",0.83,103656,1,1.79,"B"
48.41,13,"customer_service",0.74,96516,0,72.88,"B"
40.3,9,"human_resources",0.7,80604,0,1,"B"
49.4,5,"human_resources",0.96,98800,1,1,"D"
47.02,9,"it_support",0.96,94085,0,9.37,"A"
41.94,7,"it_support",0.75,83953,0,3.51,"D"
47.29,11,"it_support",0.03,94126,0,10.25,"A"
38.83,8,"customer_service",0.03,77485,0,10.14,"A"
44.71,6,"customer_service",1,89250,0,9.69,"D"
46.85,13,"customer_service",0.45,94166,0,81.62,"D"
37.84,11,"human_resources",1,75449,0,1,"D"
49.86,10,"customer_service",0.1,99103,0,18.04,"E"
44.64,8,"human_resources",0.97,88926,0,1,"B"
47.29,9,"human_resources",0.94,94558,1,1,"A"
44.56,8,"human_resources",0.54,88817,0,1,"C"
46.73,13,"customer_service",0.16,93409,0,42.07,"E"
39.23,8,"human_resources",0.13,78233,0,1,"D"
39.68,10,"customer_service",0.95,79532,0,51.73,"B"
45.94,9,"human_resources",0.97,92008,1,1,"A"
41.75,9,"customer_service",0.65,83712,0,96.81,"D"
35.95,10,"it_support",0.81,71643,0,5.39,"E"
47.34,9,"it_support",0.99,94800,0,3.79,"B"
43.32,8,"human_resources",0.97,86760,1,1,"D"
44.26,10,"human_resources",0.53,89056,1,1,"C"
50.27,11,"human_resources",0.94,101011,0,1,"B"
48.29,13,"human_resources",0.2,96644,0,1,"C"
44.55,5,"customer_service",0.44,89396,0,6.3,"A"
44.72,10,"customer_service",0.65,89330,0,1.8,"A"
43.94,13,"customer_service",0.35,87513,1,8.83,"C"
47.31,17,"human_resources",0.59,94583,0,1,"C"
49.96,15,"human_resources",0.79,99870,0,1,"D"
44.48,12,"it_support",0.82,89334,1,7.05,"C"
42.3,6,"customer_service",0.1,85093,1,12.2,"C"
44.37,12,"it_support",0.88,89099,1,6.54,"C"
41.54,4,"human_resources",0.48,83175,0,1,"B"
49.53,3,"customer_service",0.65,99567,0,113.53,"E"
48.34,7,"human_resources",0.95,96569,1,1,"B"
41.98,6,"human_resources",0.35,84114,1,1,"B"
42.36,7,"human_resources",0.03,85279,0,1,"C"
44.72,8,"customer_service",0,89225,0,108.76,"C"
48.25,10,"it_support",0.36,96847,0,9.06,"C"
46.23,10,"it_support",0.8,92766,1,5.44,"E"
44.18,5,"customer_service",0.62,88568,0,63,"B"
50.21,9,"customer_service",0.84,100289,0,4.48,"C"
46.69,8,"human_resources",0.85,93847,1,1,"D"
41.44,9,"customer_service",0.99,83327,0,22.68,"D"
48.53,10,"customer_service",0.16,96632,0,152.35,"B"
40.86,7,"customer_service",1,81614,0,17.8,"E"
42.6,9,"customer_service",0,85165,0,10.97,"E"
39.8,7,"human_resources",1,79582,0,1,"B"
48.23,3,"customer_service",0.65,95973,0,18.14,"C"
43.82,14,"customer_service",0.03,86946,0,10.53,"B"
36.39,6,"customer_service",0.75,72601,0,8.69,"D"
39.36,8,"human_resources",0.96,78882,1,1,"B"
39.73,10,"it_support",0.31,79285,0,8.68,"B"
46.79,5,"human_resources",0.02,93613,1,1,"D"
53.04,18,"customer_service",0.99,106112,0,114.04,"A"
40.69,9,"it_support",0.78,81214,0,8.03,"E"
39.89,6,"it_support",0.7,79931,0,6.13,"E"
47.78,12,"human_resources",1,95619,1,1,"C"
44.79,9,"human_resources",0.59,89455,0,1,"C"
46.27,11,"human_resources",0.79,92617,1,1,"A"
45.44,14,"human_resources",0.4,90543,1,1,"D"
48.13,13,"it_support",0.25,96578,1,3.51,"A"
46.32,10,"customer_service",0.13,92610,0,77.28,"C"
42.39,7,"human_resources",0.42,84984,0,1,"A"
40.44,8,"customer_service",0.08,80677,1,16.56,"C"
45.4,5,"customer_service",0.93,90631,0,0.8,"A"
40.78,8,"customer_service",0.12,81684,0,82.67,"B"
42.21,12,"human_resources",0.15,84633,0,1,"B"
44.84,8,"customer_service",0.99,89885,0,24.82,"E"
50.49,13,"human_resources",0.96,101036,0,1,"A"
41.01,10,"customer_service",0.04,81683,1,8.07,"D"
52.23,17,"human_resources",0.87,104338,0,1,"E"
43.57,11,"human_resources",0.5,86793,1,1,"C"
46.6,13,"human_resources",0.73,93183,1,1,"C"
47.34,14,"human_resources",0.74,94637,0,1,"B"
45.07,16,"customer_service",0.98,89988,0,3.46,"D"
49.2,15,"customer_service",0.31,98578,0,37.67,"B"
42.84,8,"customer_service",0.8,85186,0,157.68,"B"
43.19,11,"customer_service",0.98,86803,1,28.53,"B"
47.9,6,"human_resources",0.57,95741,1,1,"C"
45.19,13,"human_resources",1,89965,1,1,"B"
42.08,6,"customer_service",0.8,84504,0,11.65,"D"
42.58,5,"human_resources",0.16,84990,1,1,"A"
47.18,14,"customer_service",0.18,94833,0,40.15,"D"
42.36,10,"human_resources",0,84939,0,1,"E"
43.25,8,"human_resources",0.68,86199,1,1,"C"
46.08,9,"human_resources",0.27,92191,1,1,"C"
42.83,9,"human_resources",0.59,85044,0,1,"B"
45.07,14,"customer_service",0.9,90839,0,1.6,"C"
42.89,8,"customer_service",0.39,85941,0,18.62,"C"
41.5,6,"human_resources",0.96,83398,0,1,"E"
41.03,5,"human_resources",0.15,82120,0,1,"B"
37.35,3,"human_resources",0,74833,1,1,"A"
48.82,11,"human_resources",0.78,97244,1,1,"A"
47.49,12,"human_resources",0.99,94712,0,1,"E"
45.05,8,"customer_service",0,90657,0,35.17,"D"
41.58,3,"it_support",0.17,83072,0,12.61,"E"
47.51,5,"customer_service",0.72,95348,0,83.71,"A"
50.55,9,"customer_service",0.82,100854,0,21.85,"D"
43.99,10,"human_resources",0.98,87539,0,1,"A"
42.68,12,"human_resources",1,85350,1,1,"B"
46.57,10,"customer_service",0.94,93170,1,10.37,"C"
43.24,7,"customer_service",0.15,86568,0,40.67,"E"
49.03,11,"it_support",1,98272,1,1.14,"C"
51.61,11,"human_resources",0.29,103402,1,1,"E"
50.05,10,"customer_service",0.24,100421,0,98.44,"B"
46.07,10,"customer_service",0.64,91868,0,108.29,"B"
41.75,7,"customer_service",0.03,83372,0,37.94,"A"
39.5,15,"human_resources",0.25,79101,1,1,"B"
50.97,16,"human_resources",0.94,101823,1,1,"D"
47.21,9,"customer_service",0,95027,0,121.18,"E"
49.27,11,"customer_service",0.95,98342,0,54.81,"D"
44.78,13,"human_resources",1,90219,1,1,"B"
44.11,7,"customer_service",0.97,87892,0,27.8,"D"
41.76,11,"customer_service",0.71,83393,0,24.58,"A"
42.88,10,"human_resources",1,86011,1,1,"E"
38.64,9,"customer_service",0.96,77631,0,0.1,"B"
43.15,8,"human_resources",0.77,86590,1,1,"D"
43.07,11,"it_support",0.58,86348,0,4.73,"E"
47.53,7,"human_resources",0.46,95149,1,1,"E"
53.04,12,"customer_service",1,105753,0,43.42,"C"
41.88,6,"it_support",0.81,83784,0,9.37,"C"
43.07,10,"human_resources",0.85,85927,0,1,"E"
47.16,10,"human_resources",0.34,94675,0,1,"B"
49.37,16,"it_support",0.18,99135,0,16.29,"E"
50.42,10,"it_support",0.98,100803,0,1.52,"D"
38.71,8,"customer_service",0.1,77257,0,11.41,"E"
43.93,3,"it_support",0.87,87722,0,12.65,"C"
46.7,11,"human_resources",1,92937,1,1,"E"
48.3,7,"human_resources",0.96,96859,0,1,"E"
46.31,9,"human_resources",0.61,92787,1,1,"C"
39.74,12,"human_resources",1,79597,1,1,"C"
45.88,14,"it_support",0.03,91947,0,11.68,"D"
50.25,9,"customer_service",0.07,101192,0,10.71,"D"
46.87,10,"it_support",0.05,94004,1,2.16,"C"
42.19,10,"customer_service",0.04,84401,0,47.73,"E"
40.87,17,"human_resources",0.3,81754,0,1,"B"
45.68,10,"human_resources",0.84,91461,0,1,"C"
44.39,10,"human_resources",0.11,88881,1,1,"E"
48.36,9,"customer_service",0.01,97289,0,31.93,"B"
41.92,7,"customer_service",0.07,84080,0,37.92,"E"
39.14,8,"it_support",0.02,78225,0,9.14,"E"
44.67,12,"customer_service",0.73,88880,0,0.96,"E"
42.56,3,"human_resources",0.15,85546,1,1,"C"
46.82,8,"customer_service",0.36,93296,1,10.68,"E"
41.95,11,"customer_service",0.99,83851,0,76.58,"A"
48.31,9,"human_resources",0.59,96993,1,1,"E"
44.42,7,"human_resources",0.03,88362,0,1,"D"
45.61,9,"customer_service",0.93,90983,0,16.38,"B"
45.32,11,"human_resources",0.42,90781,0,1,"D"
40.9,6,"it_support",0.97,82161,0,9.8,"C"
46.39,2,"it_support",0.17,92782,0,6.3,"B"
42.87,9,"human_resources",0.63,85754,0,1,"A"
39.95,11,"customer_service",0.99,80048,1,18.31,"B"
41.54,7,"it_support",0.95,82737,0,3.76,"E"
45.86,8,"human_resources",0.46,91299,1,1,"A"
41.03,9,"customer_service",0.97,81529,1,7.8,"A"
45.82,10,"customer_service",0.88,91895,0,24.64,"A"
45.64,7,"human_resources",0.98,90978,0,1,"C"
47.12,9,"it_support",0.28,94544,0,7.98,"D"
47.91,5,"it_support",0.95,95842,1,4.04,"D"
50.83,15,"human_resources",0.74,101181,0,1,"A"
44.28,11,"it_support",0.49,88153,0,10.6,"E"
50.68,13,"human_resources",0.78,101556,0,1,"D"
42.79,10,"it_support",0.02,85285,0,12.02,"C"
40.53,4,"customer_service",0.62,81410,0,42.85,"E"
46.74,7,"human_resources",0.42,93226,0,1,"A"
41.98,9,"human_resources",0.75,83846,0,1,"A"
41.86,8,"human_resources",1,83446,1,1,"A"
51.96,11,"customer_service",1,103876,0,39.73,"E"
52.01,12,"human_resources",0.1,103369,1,1,"C"
43.47,6,"it_support",0.64,86986,0,5.23,"A"
47.73,6,"it_support",1,95693,0,13.07,"B"
45.35,11,"customer_service",0.28,90450,0,24.67,"C"
42.42,8,"human_resources",0.92,85117,1,1,"A"
44.2,6,"it_support",0.71,88437,1,1.4,"E"
47.21,2,"human_resources",0.5,94113,1,1,"C"
45.95,10,"human_resources",0.22,92377,0,1,"D"
43.11,9,"customer_service",0.76,86008,0,8.48,"E"
42.74,3,"it_support",0.77,85165,0,10.58,"B"
49.92,15,"it_support",0.86,99747,1,2.98,"C"
43.58,7,"it_support",0.09,86828,0,19.64,"B"
50.26,9,"human_resources",1,100308,0,1,"C"
49.74,11,"human_resources",1,99651,0,1,"A"
47.11,8,"human_resources",0.79,93997,0,1,"E"
42.08,10,"human_resources",0.66,83687,1,1,"E"
41.16,8,"human_resources",0.68,82297,1,1,"A"
46.47,12,"customer_service",0.02,92708,0,307.47,"E"
49.73,12,"customer_service",0.05,99217,0,22.89,"A"
47.88,11,"customer_service",0.86,95912,0,29.98,"A"
47.25,13,"customer_service",0.01,94641,0,11.97,"D"
38.65,7,"human_resources",0.05,77066,1,1,"D"
45.68,10,"customer_service",0.05,91573,0,22.48,"E"
45.13,13,"customer_service",0.85,90186,0,1.79,"D"
38.75,8,"it_support",0.25,77316,0,7.65,"A"
49.23,10,"it_support",0.83,98351,0,13.23,"E"
49.7,12,"human_resources",0.56,99316,0,1,"B"
40.97,11,"human_resources",0.56,82433,0,1,"C"
41.46,10,"human_resources",0.89,82725,0,1,"B"
44.07,10,"human_resources",0.01,87991,0,1,"A"
44.99,9,"human_resources",0.32,89844,1,1,"B"
44.93,11,"customer_service",0.99,89969,0,0.43,"C"
49.21,18,"human_resources",0.9,98688,0,1,"E"
48.67,15,"human_resources",0.98,97286,1,1,"C"
47.28,8,"it_support",0.01,94646,1,3.47,"B"
44.43,4,"it_support",0.06,88823,1,4.98,"D"
42.54,12,"human_resources",0.63,85115,0,1,"D"
42.46,7,"customer_service",0.31,84764,0,40.81,"D"
44.59,5,"customer_service",0.99,89352,0,13.99,"E"
42.85,12,"human_resources",0.55,85479,0,1,"D"
42.1,7,"human_resources",1,84307,0,1,"A"
50.18,12,"human_resources",0.88,100506,1,1,"E"
48.9,9,"human_resources",1,97953,1,1,"D"
45.53,9,"human_resources",0.78,91483,1,1,"E"
44.9,12,"human_resources",0.27,89808,1,1,"E"
45.74,11,"customer_service",0.48,91230,0,37.3,"B"
50.79,10,"customer_service",0.67,101778,0,20.3,"A"
44.47,7,"customer_service",0.29,89095,0,4.23,"A"
49.15,10,"human_resources",0.4,98042,0,1,"B"
40.76,7,"customer_service",0.01,81761,1,9.21,"B"
41.39,8,"customer_service",0.22,82961,0,42.45,"E"
42.94,6,"it_support",0.9,85889,0,5.68,"C"
41.12,5,"human_resources",0,82350,1,1,"C"
43.65,5,"human_resources",1,87203,0,1,"D"
40.18,2,"human_resources",1,80106,0,1,"B"
45.76,7,"human_resources",0.85,91709,1,1,"C"
38.13,12,"customer_service",0.71,76028,0,26.39,"D"
36.94,8,"human_resources",0.94,73450,1,1,"C"
47.01,4,"customer_service",0.5,93941,0,25.58,"D"
43.65,10,"it_support",0.94,87155,1,2,"D"
44.51,7,"human_resources",0.97,89060,0,1,"C"
40.53,7,"human_resources",0.99,80818,1,1,"D"
43.57,6,"customer_service",1,87470,0,16.06,"A"
41.22,11,"it_support",0.81,82150,0,10.25,"D"
50.21,13,"customer_service",0.96,100675,0,18.7,"A"
42.88,8,"customer_service",0.13,85876,0,108.15,"A"
46.2,11,"human_resources",0.98,91991,0,1,"D"
48.14,5,"it_support",0.72,95805,0,12.11,"B"
40.47,12,"human_resources",0.11,81319,1,1,"A"
41.74,5,"customer_service",0.42,83554,1,4.74,"E"
42.22,12,"human_resources",0.96,84044,1,1,"E"
44.22,9,"customer_service",0.01,87913,0,40.73,"A"
47.09,13,"it_support",0.39,94523,0,6.05,"B"
46.75,8,"it_support",1,93470,0,9.24,"B"
48.03,9,"human_resources",0.78,96210,0,1,"D"
45.62,5,"customer_service",0.9,91042,0,8.74,"D"
44.49,9,"customer_service",0.69,89050,0,7.1,"D"
42.03,7,"customer_service",0.16,83781,0,7.04,"C"
50.64,13,"human_resources",0,101574,0,1,"A"
50,14,"customer_service",0,100024,0,105.8,"A"
36.78,3,"it_support",0.89,73654,1,6.19,"D"
43.56,12,"customer_service",0.42,87411,1,6.66,"C"
45.41,9,"customer_service",0.87,91523,1,4.42,"B"
40.72,5,"human_resources",0.82,81903,1,1,"C"
45.86,11,"human_resources",0.57,91559,1,1,"B"
44.58,12,"human_resources",0.17,89083,0,1,"B"
46.83,10,"human_resources",0.97,94113,1,1,"A"
46.83,13,"customer_service",0.03,93684,0,5.28,"B"
44.17,8,"customer_service",0.91,88255,1,20.48,"E"
42.35,12,"human_resources",0,84482,1,1,"D"
48.04,12,"it_support",1,95662,0,4.37,"C"
42.96,9,"human_resources",0.98,86120,0,1,"B"
40.64,7,"human_resources",0.31,80931,0,1,"C"
48.65,9,"customer_service",0.36,97352,0,66.11,"E"
45.09,10,"human_resources",0.36,90345,1,1,"B"
45.05,17,"customer_service",0.2,90335,0,36.77,"B"
49.24,8,"customer_service",0.86,97857,0,50.63,"A"
